request_id,user_id,request_date,request_type,requested_amount,desired_completion_date,allows_partial_payment,request_text
request_26,user_26,2025-08-03,family_transfer,15656000,2025-10-07,false,"I've been asked to transfer IDR 15,656,000 to my family. I need to complete it by 7 October 2025. Should I send the full amount, send part of it, or wait?"
request_27,user_27,2026-07-05,purchase,6670,2026-08-21,true,"Can I make this purchase without dipping into the balance I want to keep? I need to decide by 21 August 2026. The laptop costs ZAR 6,670."
request_28,user_28,2024-06-07,investment,1302.4,2024-08-15,false,"I'm planning an investment contribution of EUR 1,302.40. What portion can I invest today without going below my minimum balance?"
request_29,user_29,2025-11-04,investment,51524,2025-11-23,false,"Would investing this amount leave my upcoming bills covered? I have an opportunity to invest ZAR 51,524."
request_30,user_30,2026-04-06,debt_repayment,775.2,2026-06-06,false,The additional loan payment would be USD 775.20. I need to complete it by 6 June 2026. Can I clear this additional amount without putting upcoming bills at risk?
request_31,user_31,2024-09-03,purchase,18164000,2024-11-15,false,"Would paying for the laptop today leave enough for my regular expenses? I need to decide by 15 November 2024. The price of the laptop is IDR 18,164,000."
request_32,user_32,2025-02-05,travel,40018,2025-04-15,false,"I'm planning a family trip that costs ZAR 40,018. Can I afford the full trip without putting upcoming bills at risk?"
request_33,user_33,2026-01-07,housing,118000,2026-03-15,false,"Would paying the full deposit leave enough for my other commitments? The move requires a INR 118,000 deposit."
request_34,user_34,2024-12-04,travel,129400,2025-01-28,false,"I can book the family trip for INR 129,400. I need to complete it by 28 January 2025. How much can I safely put toward the booking today?"
request_35,user_35,2025-10-30,travel,212000,2026-01-15,false,"Would it be safer to book the trip now or wait until more money comes in? I need to decide by 15 January 2026. I've found a travel option for INR 212,000."
request_36,user_36,2026-07-03,education,3954,2026-09-15,false,"I'm considering a professional course priced at USD 3,954. Is it safe to cover the full course fee by the deadline?"
request_37,user_37,2024-03-05,family_transfer,14649000,2024-05-15,false,"Can I make the full transfer without falling short on my own bills? I'm planning to send my family IDR 14,649,000."
request_38,user_38,2025-08-07,emergency_expense,971.3,2025-10-15,false,The latest estimate for the repair is EUR 971.30. I need to complete it by 15 October 2025. Can I cover the full repair now and still manage my essential expenses?
