request_id,user_id,request_date,request_type,requested_amount,desired_completion_date,allows_partial_payment,request_text,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_01,user_01,2024-03-03,purchase,25256,2024-03-20,true,"Would paying for the laptop today leave enough for my regular expenses? The laptop I'm looking at is ZAR 25,256.",25256,affordable_now,full_payment,2024-03-03:25256,2024-03-03,none,"Pay ZAR 25,256 today. This leaves at least ZAR 18,000 available over the next 90 days."
request_02,user_02,2025-08-05,travel,46018000,2025-10-10,false,"The current quote for the trip is IDR 46,018,000. I need to complete it by 10 October 2025. Can I afford the full trip without putting upcoming bills at risk?",17229139.2,affordable_with_plan,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,none,"Use 3 installments of IDR 15,952,906.67, starting 8 August 2025. This leaves at least IDR 29,158,400 available."
request_03,user_03,2019-09-03,education,5491000,2019-11-15,false,"Should I pay for the course now, use installments, or wait? I need to decide by 15 November 2019. The course I want to take is IDR 5,491,000.",873000,affordable_later,wait,2019-11-15:5491000,2019-11-15,none,"Pay IDR 5,491,000 in full on 15 November 2019. Paying earlier would take the balance below the IDR 2,668,700 minimum."
request_04,user_04,2024-06-04,family_transfer,12693000,2024-06-19,true,"The amount I want to send is IDR 12,693,000. Would sending the money now leave enough for my upcoming expenses?",8401800,affordable_later,wait,2024-06-15:12693000,2024-06-15,none,"Wait until 15 June 2024, then pay IDR 12,693,000 in full. Paying sooner would put the IDR 30,686,600 minimum at risk."
request_05,user_05,2025-11-06,debt_repayment,15488,2026-01-12,false,"Can I clear this additional amount without putting upcoming bills at risk? The extra repayment I'm considering is ZAR 15,488.",737,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 January 2026. None of the available options keeps the ZAR 13,100 minimum protected."
request_06,user_06,2026-01-03,investment,620.4,2026-01-14,false,"I want to put EUR 620.40 into an investment. I need to complete it by 14 January 2026. Is it safer to invest now, invest a smaller amount, or wait?",603.3,affordable_with_plan,full_payment,2026-01-03:620.40,2026-01-15,stop:event_476,"Stop the family streaming plan, then pay EUR 620.40 today. This leaves at least EUR 800 available."
request_07,user_07,2024-09-05,housing,197400,2024-11-14,true,"How much of the rental deposit can I safely pay today? I need to decide by 14 November 2024. The rental deposit is INR 197,400.",87170.56,affordable_with_plan,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,none,"Use 3 installments of INR 68,432, starting 12 September 2024. This leaves at least INR 93,000 available."
request_08,user_08,2025-02-07,emergency_expense,996.6,2025-04-15,false,The repair I need is priced at EUR 996.60. Can I cover the full repair now and still manage my essential expenses?,284.57,affordable_later,wait,2025-04-15:996.60,2025-04-15,none,Pay EUR 996.60 in full on 15 April 2025. Paying earlier would take the balance below the EUR 800 minimum.
request_09,user_09,2026-07-04,other,166.61,2026-07-23,true,"Is the full membership fee affordable today, or should I wait? The annual membership costs EUR 166.61.",166.61,affordable_now,full_payment,2026-07-04:166.61,2026-07-04,none,Pay EUR 166.61 today. This keeps the EUR 600 minimum available over the next 90 days.
request_10,user_10,2024-12-06,purchase,266700,2025-02-10,true,"The price of the laptop is INR 266,700. I need to complete it by 10 February 2025. How much of the laptop price can I safely cover today?",12700,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 February 2025. None of the available options keeps the INR 225,400 minimum protected."
